rank,appid
1124,2565010
1125,3722130
1126,4047270
1127,3054550
1128,3946950
1129,3107530
1130,2830070
1131,3743260
1132,2687200
1133,2495320
1134,2564450
1135,4310270
1136,1924600
1137,3829400
1138,2591230
1139,1874090
1140,2685100
1141,3328490
1142,4099630
1143,3439410
1144,2852140
1145,4295810
1146,1531180
1147,1252070
1148,4784080
1149,2027760
1150,1387640
1151,2932260
1152,4529850
1153,1276510
1154,2991310
1155,3284200
1156,1868210
1157,3460960
1158,2415500
1159,4239080
1160,2202650
1161,4423580
1162,1999930
1163,1617230
1164,3235000
1165,2151810
1166,3412600
1167,1752530
1168,2340460
1169,3000510
1170,3745920
1171,3703630
1172,2697620
1173,1286190
1174,3361480
1175,3867170
1176,2738660
1177,1093810
1178,3275050
1179,2459030
1180,3170490
1181,4538960
1182,4628160
1183,3126990
1184,3082730
1185,2831170
1186,3152440
1187,3094870
1188,2384640
1189,1111840
1190,1575790
1191,3130110
1192,4412000
1193,2661310
1194,4127280
1195,3151360
1196,2666160
1197,3948160
1198,1830110
1199,5024530
1200,4208770
1201,2468250
1202,3649680
1203,1143070
1204,3542500
1205,1931040
1206,4234750
1207,2958550
1208,971700
1209,1428600
1210,4049170
1211,2281620
1212,3832490
1213,1482470
1214,3738890
1215,3504490
1216,3727090
1217,3856030
1218,1826020
1219,3148560
1220,2236190
1221,3845070
1222,3621690
1223,3282110
1224,4218360
1225,4754550
1226,912000
1227,3867190
1228,4066670
1229,2546810
1230,1717730
1231,4054220
1232,2379350
1233,1958160
1234,3433000
1235,1992100
1236,4928820
1237,3357310
1238,4442750
1239,4354610
1240,2525210
1241,1518330
1242,3258580
1243,4204610
1244,2172910
1245,1142570
1246,2728050
1247,3763470
1248,3831680
1249,1384180
1250,4004820
1251,2298250
1252,4117830
1253,3084810
1254,2873750
1255,2173770
1256,3947460
1257,2888960
1258,4110770
1259,1445190
1260,3592940
1261,4087530
1262,4156710
1263,4060980
1264,3164360
1265,4167200
1266,2584400
1267,2113960
1268,4356430
1269,4808030
1270,3804760
1271,1409460
1272,1065740
1273,1468400
1274,2379820
1275,3079170
1276,3180340
1277,2022610
1278,3640840
1279,4624650
1280,2666920
1281,1439270
1282,2626570
1283,3370270
1284,2528170
1285,2870250
1286,3299820
1287,4414860
1288,3867180
1289,3334760
1290,2964560
1291,2939510
1292,1288540
1293,4341010
1294,1736220
1295,2433560
1296,4839390
1297,2214460
1298,2893250
1299,2853430
1300,2524200
1301,3188660
1302,4178100
1303,3594610
1304,2243990
1305,4982920
1306,3689540
1307,3086670
1308,2257440
1309,4417350
1310,1493430
1311,433970
1312,2077890
1313,2734480
1314,2548410
1315,3469420
1316,1792390
1317,1363400
1318,3447730
1319,2243690
1320,2824880
1321,3832030
1322,2233390
1323,2681870
1324,2217470
1325,4105540
1326,3755120
1327,3460400
1328,4339680
1329,2591630
1330,4521700
1331,1965550
1332,2748140
1333,1179020
1334,2278950
1335,1342400
1336,2771630
1337,3121890
1338,1187640
1339,2141160
1340,4441110
1341,2985880
1342,2242340
1343,3273260
1344,4085430
1345,4211060
1346,4513060
1347,1959280
1348,492540
1349,904510
1350,2857810
1351,2022640
1352,3378100
1353,3758980
1354,2983860
1355,2542310
1356,2795590
1357,3174780
1358,2349630
1359,1456830
1360,4744030
1361,3618000
1362,3668300
1363,4627110
1364,2994190
1365,2154780
1366,2101420
1367,3563470
1368,2974510
1369,2561630
1370,2154420
1371,1837730
1372,2543660
1373,4018330
1374,3983620
1375,3256040
1376,2981400
1377,2920220
1378,4193590
1379,2152570
1380,1191960
1381,3306920
1382,3577020
1383,3774860
1384,4183580
1385,1030780
1386,3466240
1387,1435900
1388,3136340
1389,2593980
1390,1742440
1391,4420730
1392,1468110
1393,4225250
1394,3017770
1395,3316500
1396,3187650
1397,3424910
1398,3265840
1399,3688240
1400,2431080
1401,3445610
1402,2658410
1403,1387810
1404,3588150
1405,1163350
1406,1574290
1407,2747660
1408,4001650
1409,3377450
1410,2577430
1411,2755990
1412,3074980
1413,1684370
1414,2999120
1415,3601680
1416,3309290
1417,3285880
1418,2520400
1419,2646170
1420,2775830
1421,4846360
1422,2741550
1423,2986110
1424,3833730
1425,2537650
1426,2276810
1427,3987060
1428,1303940
1429,3052150
1430,3193330
1431,3619580
1432,1253800
1433,3810510
1434,3123060
1435,3441990
1436,2593570
1437,3238520
1438,3718160
1439,3769800
1440,2707670
1441,3851090
1442,3869500
1443,4123930
1444,3278790
1445,2465380
1446,3746560
1447,4738460
1448,1294620
1449,2780230
1450,2921580
1451,4736790
1452,1621910
1453,3156020
1454,3557890
1455,2501620
1456,1825030
1457,3941680
1458,4374530
1459,2621540
1460,2451040
1461,4024450
1462,4421670
1463,3512750
1464,1602300
1465,3819700
1466,3197890
1467,1502750
1468,3557360
1469,994560
1470,3993370
1471,3869940
1472,2962320
1473,3891400
1474,3985330
1475,4423270
1476,2329690
1477,2636460
1478,3572310
1479,3380100
1480,2301240
1481,3336070
1482,4113160
1483,4030150
1484,2561340
1485,3818090
1486,2976030
1487,983680
1488,4487450
1489,1941640
1490,1851420
1491,4308420
1492,2752020
1493,3513120
1494,1902860
1495,2396760
1496,3209950
1497,1797850
1498,3716910
1499,2688780
1500,3432980
1501,4702700
1502,3836490
1503,1261370
1504,4202430
1505,2539340
1506,3012400
1507,2605900
1508,2686570
1509,3917700
1510,1120790
1511,1892100
1512,1686230
1513,2054520
1514,3276270
1515,1416360
1516,2770330
1517,1662050
1518,3973160
1519,3449370
1520,4644870
1521,2058960
1522,2073150
1523,3159750
1524,4034350
1525,685560
1526,4098030
1527,3500460
1528,4110140
1529,1965470
1530,1766500
1531,3479080
1532,3770380
1533,2639270
1534,1512190
1535,2542170
1536,2482760
1537,2353010
1538,3484950
1539,3395320
1540,782940
1541,612660
1542,4279510
1543,2027030
1544,764930
