appid,rank,prev_rank,rank_change
3029180,6844,N/A,2348
2021880,6846,N/A,2346
1920480,6144,8487,2343
323220,6852,N/A,2340
3073990,4599,6938,2339
1281880,6774,9108,2334
2154171,6764,9097,2333
3814340,5322,7654,2332
3254350,4622,6949,2327
2006140,6865,N/A,2327
3228580,6866,N/A,2326
2726370,4505,6830,2325
2808880,4434,6757,2323
762830,5956,8272,2316
3324610,6877,N/A,2315
2865610,6878,N/A,2314
3987560,6205,8517,2312
3663000,6883,N/A,2309
2022180,2410,4716,2306
3531160,6886,N/A,2306
373930,4609,6911,2302
2488540,3357,5655,2298
200080,6895,N/A,2297
2192790,6810,9105,2295
3444080,5732,8024,2292
3532160,5468,7753,2285
2213190,5511,7796,2285
3759600,6909,N/A,2283
1100410,6910,N/A,2282
1770580,6912,N/A,2280
3839300,6504,8783,2279
2454960,5916,8193,2277
602700,4689,6964,2275
3252020,5275,7550,2275
3969150,6917,N/A,2275
3946110,1493,3767,2274
4464730,6920,N/A,2272
258520,6922,N/A,2270
2545360,6925,N/A,2267
1259790,3518,5784,2266
538680,5651,7915,2264
552700,6928,N/A,2264
1836730,2803,5062,2259
3606830,6362,8617,2255
4054110,2434,4683,2249
467520,6944,N/A,2248
203750,6349,8593,2244
2199080,6949,N/A,2243
25800,6954,N/A,2238
2314160,3593,5827,2234
3933550,6694,8928,2234
1620030,6959,N/A,2233
3402630,6963,N/A,2229
1356670,6966,N/A,2226
2321780,3897,6116,2219
2292650,5478,7696,2218
3985030,5225,7441,2216
3169580,6417,8630,2213
1991860,6984,N/A,2208
2088810,6985,N/A,2207
577230,6987,N/A,2205
2272500,6988,N/A,2204
2309730,6992,N/A,2200
4395490,6994,N/A,2198
1105510,5377,7572,2195
1602010,4055,6248,2193
1556200,4858,7050,2192
4746070,7000,N/A,2192
1406990,6786,8974,2188
2485190,7007,N/A,2185
2878980,3152,5335,2183
911930,5012,7195,2183
2400510,4550,6732,2182
3702930,7014,N/A,2178
3850870,7017,N/A,2175
1450460,6950,9122,2172
2806640,3979,6147,2168
3713760,7027,N/A,2165
374040,5046,7210,2164
1243960,6522,8682,2160
3857430,5473,7631,2158
