rank,appid
1532,1262350
1533,2807090
1534,4165520
1535,1067690
1536,1113000
1537,4412680
1538,1750770
1539,2706020
1540,4156770
1541,837470
1542,2966320
1543,2840470
1544,4601770
1545,531131
1546,4282450
1547,2506160
1548,1648532
1549,4538530
1550,2281730
1551,3979330
1552,1520620
1553,3669570
1554,1574820
1555,1012880
1556,2254890
1557,1705180
1558,2658510
1559,821250
1560,961930
1561,3144860
1562,2909400
1563,798460
1564,3875050
1565,1001270
1566,3483740
1567,774861
1568,1817490
1569,1202130
1570,3651200
1571,3871330
1572,1880650
1573,3165680
1574,1973710
1575,895870
1576,3215050
1577,2475490
1578,2736340
1579,230190
1580,4148530
1581,3065030
1582,3571730
1583,2450010
1584,219740
1585,2593750
1586,1850570
1587,1348661
1588,1353060
1589,535930
1590,2582320
1591,3616260
1592,1341290
1593,1588530
1594,939960
1595,4062430
1596,451340
1597,4680930
1598,359870
1599,947510
1600,2698940
1601,4806540
1602,3301110
1603,2849080
1604,388090
1605,2632050
1606,240
1607,323190
1608,1336350
1609,1235743
1610,2172010
1611,899440
1612,3579760
1613,1210320
1614,3301120
1615,2135150
1616,2819520
1617,3144890
1618,3622820
1619,1295920
1620,2982320
1621,3315290
1622,3757310
1623,3976500
1624,407130
1625,2815290
1626,2993780
1627,2956680
1628,4055140
1629,777130
1630,3797340
1631,1449110
1632,1670430
1633,1816550
1634,3976900
1635,2340520
1636,383870
1637,3618030
1638,2608270
1639,10680
1640,2238470
1641,70
1642,1164940
1643,362620
1644,1059990
1645,2174380
1646,4427430
1647,3402420
1648,2968040
1649,221040
1650,4197940
1651,1084600
1652,3468400
1653,774181
1654,2457220
1655,3260810
1656,4082750
1657,3722660
1658,1483870
1659,4598200
1660,3548850
1661,209000
1662,2713000
1663,532210
1664,2870340
1665,688420
1666,2866670
1667,2447000
1668,3301130
1669,1649950
1670,704270
1671,214490
1672,1096530
1673,1607680
1674,4196060
1675,2080690
1676,3118100
1677,21970
1678,3889960
1679,822240
1680,801800
1681,3897800
1682,4173830
1683,365590
1684,2101390
1685,359510
1686,4135750
1687,2067050
1688,674140
1689,393080
1690,490110
1691,3585800
1692,2447590
1693,3199780
1694,47410
1695,2601200
1696,413420
1697,1568590
1698,668580
1699,4194490
1700,4156370
1701,2415010
1702,1343070
1703,4834070
1704,3059070
1705,736260
1706,3986670
1707,1277400
1708,2719160
1709,790820
1710,2248760
1711,285310
1712,1796790
1713,2273430
1714,3359740
1715,2261430
1716,976310
1717,3431040
1718,3985670
1719,4483540
1720,2300840
1721,3868320
1722,4286550
1723,1244090
1724,332800
1725,3271000
1726,4348800
1727,3151380
1728,2523720
1729,521890
1730,3320
1731,681280
1732,1066780
1733,1452490
1734,1016950
1735,4195470
1736,3884520
1737,3314060
1738,1082180
1739,3660210
1740,2440510
1741,3579780
1742,3798230
1743,3795900
1744,1284410
1745,3558400
1746,1032430
1747,675690
1748,3172660
1749,4458310
1750,3253530
1751,2759280
1752,1302240
1753,2792170
1754,3543180
1755,1491000
1756,212200
1757,720620
1758,1785650
1759,3579790
1760,3523750
1761,813230
1762,2878980
1763,2689120
1764,1556110
1765,3979530
1766,2776090
1767,307780
1768,2132850
1769,3504700
1770,4094160
1771,3168600
1772,3039890
1773,404010
1774,1860510
1775,621060
1776,404013
1777,220240
1778,1088790
1779,405580
1780,4196070
1781,3263320
1782,593380
1783,1169040
1784,996580
1785,2739990
1786,2292260
1787,644930
